date,AAPL,ABBV,AMZN,BA,BAC,C,CSCO,CVX,DIS,DWDP,FB,GOOG,HD,INTC,JNJ,JPM,KO,MA,MSFT,ORCL,PEP,PFE,PG,PM,T,TSLA,UNH,V,VZ,WFC,WMT,XOM
2009-07-22,20.143274587348,,88.79,33.679438844785,11.489014481002,27.15970453057,17.725744725927,48.62605595198,22.665828572714,,,,20.306725119203,14.467781798487,45.533999130198,30.501997821131,19.140162068278,17.439179551262,19.958290271982,19.754580469886,43.931391430307,11.563083643891,42.295906166607,30.780069064558,15.88946764307,,23.141664136415,15.729081610399,19.027048557154394,20.080106287583,39.865790541333,54.568630225519
2009-07-23,20.282069640011,,93.87,33.639344274732,11.921144216182,26.868707696314,18.097613496401,50.064042138004,23.933971857712,,,,20.724828866106,14.724785236914,46.326363027885,31.595200023789,19.159641166658,17.861033189294,20.569915296446,20.163295927884,44.410871637365,11.767095201565,42.519449319301,32.281193672538,16.298858113745,,24.076231341924,15.80907993123,19.746956799940854,19.924064561831,39.533372926488,55.831684675659
2009-07-24,20.560430828962,,86.49,33.97613866318,11.752049971981,26.480711917306,18.081085995491,50.46225369721,23.737498954402,,,,20.757621316844,14.634078140998,47.318741113338,31.404717821811,19.229765920826,17.822595500179,18.87185108379,20.281369282417,44.340128655996,12.007537394538,43.043619470445,33.179062596937,16.279667935432,,24.316548623341,15.832608849122,19.892201445415314,19.275259491598,39.679312367152,56.361855679422
2009-07-27,20.575081417854,,84.24,33.871892781041,12.296909203296,26.092716138297,18.048030993671,50.771973798815,23.621401329719,,,,20.626451513894,14.717226312254,47.134112632324,31.578636354052,19.292099035642,18.174300355577,18.598229362319,19.963479481752,44.285106337153,12.109543173376,42.997369162992,32.758186538625,16.458776266352,,24.583567824915,16.044369110144,19.57645221612301,19.891213672198,39.703635607262,56.720500770203
2009-07-28,20.562230024089,,84.98,34.681803096118,12.531762320242,28.808686591354,18.122404747766,50.395885104009,23.549956637607,,,,20.815008105634,14.641637065658,46.864862764178,31.537227179709,19.241453379854,17.963854007675,18.88794647917,20.199626190817,43.994274080413,11.679661676848,42.943410470962,32.603865317244,16.324445018162,,25.883061272575,15.599672561997,19.829051599556852,20.137595344439,39.663096873745,56.049990383091
2009-07-29,20.566085442218,,84.34,34.778030064246,12.700856564443,31.233660210155,17.948865988212,49.496221951728,23.121288484931,,,,20.815008105634,14.664313839637,47.049491245192,31.280490298781,19.198599363418,18.118565706361,19.153520502951,19.990727178952,44.27724600589,11.475650119174,43.259454238564,32.842361750287,16.599504240647,,25.28671838906,15.712611367875,20.19532070553593,20.022617230727,40.027945475404,55.69134529231
2009-07-30,20.920783910134,,86.09,34.673784182108,13.123592174946,30.457668652139,18.163723500041,49.923930663468,23.415997839896,,,,21.192121289116,14.61140136702,47.534141007855,31.860218739585,19.350536330783,18.652849585053,19.161568200641,20.108800533484,44.489474949997,11.61408653331,43.344246468896,32.842361750287,16.848976558714,,25.010798547433,15.813785714808,20.403715196868852,20.425040628719,40.52251802432,55.137784391323
2009-07-31,20.997892272724,,85.76,34.409160019756,13.893910398529,30.748665486395,18.188514751406,51.229179663089,22.433633323348,,,,21.265904303275,14.550929969743,46.841784204051,32.00929176722,19.416765265275,18.64516204723,18.928184967622,20.099717967751,44.607379918946,11.60680040625,42.789242779449,32.688040528906,16.778612571567,,24.975195987224,15.402029651709,20.252155566808543,20.088319009991,40.441440557285,54.88049552185
2009-08-03,21.388574643182,,87.44,35.114824452694,14.391799006455,30.845664431147,18.65211115193,51.9149884595,22.790856783911,,,,21.577432585282,14.641637065658,47.003334124938,32.796066079739,19.323265593051,19.282266744303,19.177663596022,20.254121585217,44.175061699467,11.686947803908,42.866326625205,32.842361750287,16.778612571567,,24.352151183551,16.260835154745,20.22689562846516,21.188823812664,40.409009570471,55.083207964465
2009-08-04,21.275482378049,,85.8,35.074729882641,14.692410996146,31.524657044411,18.54385602097,51.922362747633,22.898023822079,,,,21.552838247228,14.60384244236,46.972562711436,33.301258006725,19.28430739629,19.516736647902,19.12937740988,19.881736390152,46.423116440757,11.59222815213,42.750700856571,32.954595365837,16.804199475984,,23.969423661295,16.258482262956,20.119540890505775,21.763714381225,40.417117317174,55.044224802423
2009-08-05,21.218936245483,,84.29,35.644072777398,15.650611713286,34.725622221229,18.320734758686,51.465156883359,22.567592121059,,,,21.585630697966,14.361956853253,46.503298655524,34.601506081099,19.155745346982,19.505205341168,19.161568200641,19.473020932155,45.896474246119,11.679661676848,41.555901247344,32.807288745428,16.458776266352,,23.30187565736,16.089074054138,19.746956799940854,23.053111799282,39.890113781444,54.599816755152
2009-08-06,21.064719520303,,84.47,36.850288276792,15.688188211997,36.859599005773,18.434774514964,51.066945324153,22.6568979862,,,,21.757791064338,14.240116286099,46.103270279993,33.748477089631,19.241453379854,19.361064006988,18.87989878148,19.264121920289,45.456295695377,11.620784995427,39.66734702631,32.961609966809,16.343635196475,,23.12386285631,16.152602132445,19.551192277779624,23.011974911703,39.711743353966,54.365917782903
2009-08-07,21.270341820543,,85.32,37.797450783028,15.425152721018,37.344593729534,18.337262259596,51.251302527489,23.835735406057,,,,22.348055177613,14.087815577156,46.080191719866,35.081852503479,19.221974281474,19.635893484157,18.960375758383,19.463938366421,45.385552714008,11.745897943446,40.106724947122,33.010712173612,16.388412279205,,23.595596779091,16.27495250548,19.626972092809776,23.661937735452,39.963083501776,54.163205340288
2009-08-10,21.1688158098,,84.44,37.052673427697,15.669399962642,38.217584232302,17.882755984572,51.052196747886,23.612470743205,,,,22.216885374663,14.285806498781,46.711005696665,35.355153054143,19.260932478234,19.443705038584,18.847707990719,19.300452183222,45.126161782321,11.709100017558,40.214642331181,33.108916587218,16.362825374788,,24.094032622029,16.206718643595,19.525932339436242,23.563209205262,40.311716610028,53.937103000448
2009-08-11,20.92592446764,,83.56,36.745047998321,14.889687614381,35.792610613501,17.494359713188,50.100913578671,23.130219071445,,,,22.044725008291,14.194426073416,46.326363027885,34.154286998193,19.105099691194,19.47733801656,18.6143247577,19.327699880422,44.733145219158,11.650223336137,40.029641101365,32.821317947372,16.222097400493,,24.761580625964,16.143190565288,19.323852832689163,22.123418139996,40.571164504542,53.445915158727
2009-08-12,21.244639033013,,85.96,37.51411157176,14.964840611803,38.60558001131,17.709217225017,50.67610805308,23.415997839896,,,,22.298866501507,14.323881676017,46.610998602783,34.957624980449,18.879142149984,19.633971599701,18.936232665312,19.872653824419,44.552357600103,11.67230209167,40.14526687,32.645952923075,16.407602457518,,24.734878705807,16.130249660448,19.709066892425778,22.353784710439,41.17316469728,54.214695385581
2009-08-13,21.644317379107,,84.6,37.740782940774,15.970011952333,39.381571569326,17.775327228657,50.535996578544,23.451720185952,,,,22.692375910357,14.506642526748,46.403291561641,35.529071586384,18.746684281,19.600338621726,19.008661944525,19.972562047485,44.403011306102,11.628144580605,40.314851330664,32.568792312384,16.298858113745,,25.25111582885,16.184449184508,19.60171215446639,22.937928514061,42.289918520984,53.932286322655
2009-08-14,21.43355452136,,83.58,36.324086884439,16.336382814769,39.187573679822,17.610052219558,50.108287866804,23.094496725389,,,,22.2496778254,14.293421534229,46.218663080627,35.156389017296,18.883037969661,19.469650478737,19.066605367895,19.945314350285,44.458033624944,11.606065825072,40.368810022694,32.70206973085,16.279667935432,,24.975195987224,15.977077092452,19.626972092809776,22.814517851324,42.216555131105,53.508672728266
2009-08-17,20.509539309652,,81.06,35.749313055868,15.556670466508,38.799577900814,17.130754693169,49.60683627373,22.406841563806,,,,21.40527221891,14.049740399921,46.018648892861,33.731913419893,18.972641822209,18.828702012752,18.710897129983,19.436690669221,44.159341036941,11.687021262025,40.245475869484,31.888376018113,16.004608712947,,25.349022869427,15.654236449139,19.08388341842701,21.638002866564,42.037222400292,52.20645316033
